wds_identifier,source_id_a,source_id_b,ref_epoch_a,ref_epoch_b,ra_a,ra_b,ra_error_a,ra_error_b,dec_a,dec_b,dec_error_a,dec_error_b,parallax_a,parallax_b,parallax_error_a,parallax_error_b,parallax_over_error_a,parallax_over_error_b,pmra_a,pmra_b,pmra_error_a,pmra_error_b,pmdec_a,pmdec_b,pmdec_error_a,pmdec_error_b,radial_velocity_a,radial_velocity_b,radial_velocity_error_a,radial_velocity_error_b,astrometric_params_solved_a,astrometric_params_solved_b,visibility_periods_used_a,visibility_periods_used_b,astrometric_sigma5d_max_a,astrometric_sigma5d_max_b,ruwe_a,ruwe_b,phot_g_mean_mag_a,phot_g_mean_mag_b,phot_g_mean_flux_over_error_a,phot_g_mean_flux_over_error_b,phot_bp_mean_mag_a,phot_bp_mean_mag_b,phot_bp_mean_flux_over_error_a,phot_bp_mean_flux_over_error_b,phot_rp_mean_mag_a,phot_rp_mean_mag_b,phot_rp_mean_flux_over_error_a,phot_rp_mean_flux_over_error_b,bp_rp_a,bp_rp_b,phot_bp_rp_excess_factor_a,phot_bp_rp_excess_factor_b
00000+3852BU,2881742976228918912,2881742980523997824,2016.0,2016.0,0.007304252161929567,0.005058967400198452,0.016427384689450264,0.02496100589632988,38.85872352417506,38.859269115054886,0.014054271392524242,0.019697383046150208,2.955704163346745,2.992686610903894,0.027848364785313606,0.04275492951273918,106.1356430053711,69.99629211425781,5.04121006557981,5.761322176559112,0.01744064688682556,0.027374057099223137,-2.2337674557458724,-2.4055595285991993,0.015975115820765495,0.022997289896011353,-5.568790435791016,nan,0.7653659582138062,nan,31.0,31.0,20.0,18.0,0.028870442882180214,0.046229343861341476,1.2354885339736938,1.0191636085510254,11.427901268005371,6.596024990081787,1726.3349609375,2948.464111328125,11.674772262573242,6.584270477294922,90.04275512695312,1470.9251708984375,10.888983726501465,6.558365345001221,262.5050964355469,930.067626953125,0.7857885360717773,0.025905132293701172,1.2692034244537354,1.16890287399292
00001+2329SLW,2848389634598757248,2848389638892246784,2016.0,2016.0,0.03314796703864468,0.03378236375824252,0.029951635748147964,0.03600998595356941,23.489815136581644,23.489797056224923,0.022661367431282997,0.027473317459225655,5.984123397710049,6.024398024597801,0.04232751950621605,0.05026072636246681,141.3766632080078,119.86293029785156,-17.54282347604955,-17.341449750015027,0.03990339860320091,0.047319959849119186,14.339548010798328,13.84264737004406,0.023722605779767036,0.02872137539088726,nan,nan,nan,nan,31.0,31.0,18.0,18.0,0.05579807981848717,0.06621352583169937,1.2220535278320312,1.1812232732772827,15.625818252563477,16.067148208618164,2613.518798828125,2101.88427734375,16.721790313720703,17.25048065185547,281.9662170410156,105.1214370727539,14.550642967224121,14.95545482635498,392.33062744140625,345.28216552734375,2.171147346496582,2.2950258255004883,1.3974251747131348,1.415753722190857
00001-2432UC,2339620938427861760,2339621694342105728,2016.0,2016.0,0.021156412861024244,0.007187720541393926,0.014461606740951538,0.013117694295942783,-24.52941401440061,-24.526397991628983,0.01017816737294197,0.009502646513283253,7.051313703318051,7.069001553402968,0.016740385442972183,0.015987887978553772,421.2157287597656,442.14727783203125,-73.02328186401188,-71.12742295120407,0.017704829573631287,0.01570415124297142,-57.411947492847965,-55.21558643246591,0.01193722989410162,0.01075705699622631,10.68839168548584,11.83206558227539,0.35020703077316284,0.8381795287132263,31.0,31.0,17.0,16.0,0.024715885519981384,0.02183678187429905,0.9714673757553101,1.1310007572174072,10.364680290222168,12.612863540649414,7203.56005859375,3861.339111328125,10.657445907592773,13.202872276306152,2244.692138671875,1414.4129638671875,9.902331352233887,11.88498306274414,4804.453125,2176.324951171875,0.7551145553588867,1.3178892135620117,1.1982067823410034,1.2441102266311646
00001-5700KPP,4922504834475011072,4922504834475892480,2016.0,2016.0,0.021763916704399467,0.021016210238420895,0.02732197754085064,0.008454330265522003,-56.9948116880826,-56.994235420911124,0.03022845648229122,0.009164833463728428,15.553320000370277,15.550181839301533,0.03800523281097412,0.011544439010322094,409.2415466308594,1346.984619140625,49.39866441659452,50.87966724745515,0.03470436856150627,0.010437512770295143,16.180406153757062,16.26752493538094,0.04068126901984215,0.01204423326998949,nan,-9.590900421142578,nan,0.7368104457855225,31.0,31.0,28.0,28.0,0.06248260289430618,0.018839415162801743,1.2733317613601685,1.0987781286239624,15.84848690032959,13.330462455749512,1220.012939453125,3487.27587890625,17.229095458984375,14.47518253326416,61.323421478271484,752.6953735351562,14.456870079040527,12.260918617248535,114.3830337524414,1085.56982421875,2.7722253799438477,2.214263916015625,1.719896674156189,1.379959225654602
00002+2855TVB,2855149058422874496,2855149058422874752,2016.0,2016.0,0.03944518262046176,0.04179115554562762,0.041262418031692505,0.009162182919681072,28.911636043341737,28.909033931897024,0.030736315995454788,0.0073277149349451065,2.9942077476167057,3.1128162332938207,0.058734700083732605,0.013720878399908543,50.978515625,226.86712646484375,-2.452733500709835,-3.180381513001501,0.06298918277025223,0.013434641994535923,-1.2636624991276986,-1.5621935452483722,0.038800373673439026,0.00885214563459158,50.66188049316406,50.180702209472656,0.9940207004547119,0.8693099021911621,31.0,31.0,18.0,18.0,0.0877213403582573,0.01860358752310276,4.033327102661133,0.9869668483734131,12.59820556640625,12.243067741394043,5733.91162109375,6561.9443359375,12.961882591247559,12.563680648803711,1904.967041015625,2279.809326171875,12.06081485748291,11.756722450256348,3562.68310546875,3113.877197265625,0.9010677337646484,0.8069581985473633,1.2093056440353394,1.198583960533142
00002+0146WEI,2738669098678782848,2738669098678799360,2016.0,2016.0,0.05062780804239542,0.051133008383570225,0.022542599588632584,0.027359317988157272,1.7713411294698247,1.7714076705198216,0.0177362859249115,0.022498486563563347,7.250197097600553,7.39886366581129,0.026955222710967064,0.031607311218976974,268.9718933105469,234.0870819091797,36.328743867807965,34.36389555659677,0.027762511745095253,0.0347432866692543,-19.249818869862512,-17.695020032374526,0.017817838117480278,0.022659694775938988,-2.700913190841675,-2.5891454219818115,0.40465861558914185,2.0797297954559326,31.0,31.0,13.0,13.0,0.03898885101079941,0.04890744388103485,1.358788251876831,1.647548794746399,9.900315284729004,10.298931121826172,2680.06005859375,775.5800170898438,10.13776683807373,10.644622802734375,246.0697479248047,95.2500228881836,9.42070198059082,9.684060096740723,289.2480773925781,191.6798858642578,0.7170648574829102,0.9605627059936523,1.237481713294983,1.2690478563308716
00002+0014SKF,2738196171238583168,2738196171239797632,2016.0,2016.0,0.05413384039216001,0.054178971482588524,0.05341653525829315,0.08376044034957886,0.2347650879908526,0.23437618266862245,0.036218833178281784,0.05720887333154678,2.3827906131390297,2.4997051776125265,0.06017487123608589,0.0942254364490509,39.59777069091797,26.52898597717285,-7.449459525673288,-7.943974833024743,0.06670517474412918,0.10407254099845886,16.180833816918074,15.491650503459944,0.03863200545310974,0.061269503086805344,nan,nan,nan,nan,95.0,95.0,15.0,15.0,0.09402656555175781,0.14626316726207733,1.0414776802062988,1.1383062601089478,16.44110870361328,17.115121841430664,1064.7469482421875,283.6498718261719,17.172208786010742,17.822254180908203,59.90205001831055,78.80037689208984,15.213898658752441,15.220264434814453,72.56285858154297,953.3904418945312,1.9583101272583008,2.60198974609375,1.6733072996139526,2.7888729572296143
00002-0021ITF,2449930675140565248,2449930679435529216,2016.0,2016.0,0.04383227053708475,0.04326775831027915,0.03810257092118263,0.021577119827270508,-0.34293508409387735,-0.3438582382013162,0.02795836329460144,0.01596616953611374,2.135081364753649,1.642596778183713,0.047896429896354675,0.02682897076010704,44.57704544067383,61.2247428894043,27.61683349860206,5.212156144166475,0.05508917570114136,0.02778313308954239,-25.070101998332188,-18.265750267395788,0.026018287986516953,0.016361398622393608,nan,-18.951196670532227,nan,1.5949347019195557,31.0,31.0,14.0,15.0,0.07904370874166489,0.039193928241729736,1.0581916570663452,1.1852798461914062,15.4657564163208,12.910128593444824,1710.0404052734375,4040.71826171875,16.107196807861328,13.251039505004883,109.81322479248047,1991.661376953125,14.634405136108398,12.406578063964844,439.4649658203125,1983.159423828125,1.4727916717529297,0.8444614410400391,1.306908369064331,1.1991088390350342
00002-2519COO,2335010480014243328,2335010480014243584,2016.0,2016.0,0.04096775919116299,0.04049289034188718,0.015856871381402016,0.013391870073974133,-25.322535026820596,-25.324838890238208,0.012015373446047306,0.010755809023976326,3.3925037006548107,3.4210060409431207,0.01798075996339321,0.016407523304224014,188.67408752441406,208.50228881835938,1.0671645381845714,0.792127447808865,0.022481391206383705,0.017669862136244774,-11.916218189626978,-8.394921322761117,0.014049714431166649,0.01263735443353653,-3.7725558280944824,-3.1368777751922607,0.3243555724620819,0.27601227164268494,31.0,31.0,16.0,16.0,0.03221415728330612,0.02520589902997017,1.1359201669692993,0.9405922293663025,9.913875579833984,9.856830596923828,5923.5771484375,6188.3642578125,10.174049377441406,10.130471229553223,2568.5283203125,2296.0380859375,9.488286018371582,9.416060447692871,3178.2978515625,3594.538818359375,0.6857633590698242,0.7144107818603516,1.1936314105987549,1.195367693901062
